tileswide 39
tileshigh 23
tilewidth 32
tileheight 32

layer 0
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,
12,0,13,13,0,0,13,13,0,0,13,13,0,0,0,0,0,0,11,0,0,0,0,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,12,
12,0,13,13,0,0,13,13,0,0,13,13,0,0,13,0,0,0,0,0,0,0,0,17,17,17,17,17,17,17,17,17,17,1,1,1,1,17,12,
12,1,17,1,17,1,1,17,17,1,17,17,1,1,17,17,1,17,1,17,1,17,1,17,1,1,17,17,8,3,3,0,0,17,1,17,1,1,12,
12,0,17,17,17,17,17,17,17,17,17,17,1,17,1,17,1,1,17,1,1,17,17,1,17,17,1,17,8,9,9,9,0,17,1,17,17,1,12,
12,7,7,7,7,7,7,7,7,7,7,1,1,17,17,17,17,1,1,1,1,17,17,17,13,13,0,0,0,10,10,10,0,17,1,17,17,1,12,
12,15,15,15,14,14,14,15,15,15,16,1,1,1,8,11,11,9,9,3,17,17,0,0,13,13,0,0,16,1,17,1,1,17,17,17,17,1,12,
12,5,5,4,3,5,5,4,3,5,16,17,17,1,8,0,3,10,10,3,17,17,0,0,0,0,0,3,16,17,17,17,1,17,17,17,17,1,12,
12,0,4,4,3,4,3,5,5,5,16,17,17,1,8,3,3,3,3,3,17,17,3,11,3,3,3,3,16,17,17,1,17,1,17,17,1,17,12,
12,11,11,11,11,11,11,11,11,5,16,17,1,1,8,15,15,15,15,15,15,15,15,15,15,15,15,15,15,17,17,1,17,17,17,17,17,17,12,
12,11,17,17,17,17,1,17,17,17,17,17,17,17,17,17,17,17,1,17,17,17,1,17,1,17,17,17,17,17,17,17,1,17,17,17,17,17,12,
12,11,1,17,17,1,17,17,17,17,17,17,17,1,1,17,17,17,1,17,17,1,17,17,1,17,17,17,17,1,17,1,1,17,17,17,1,1,12,
12,11,17,17,1,7,7,7,7,17,17,7,7,7,7,7,7,17,17,7,7,7,7,7,1,1,17,1,1,0,0,0,13,13,13,13,13,0,12,
12,11,17,1,1,11,3,13,11,17,17,11,5,3,3,5,11,17,17,11,3,3,3,11,7,17,1,17,1,1,0,0,13,13,13,13,13,0,12,
12,11,1,1,1,11,5,13,11,17,17,11,13,13,3,5,11,17,17,11,5,5,3,3,13,7,17,17,17,1,1,0,13,13,13,13,13,0,12,
12,11,17,17,1,11,5,5,11,17,17,11,5,3,3,3,11,17,17,11,5,5,3,5,13,16,7,17,17,17,1,1,13,13,13,13,13,0,12,
12,11,1,1,1,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,1,17,17,1,1,1,13,13,13,13,0,12,
12,11,1,1,17,17,1,17,17,17,17,17,17,17,17,17,17,17,17,17,17,1,17,17,17,1,16,16,16,16,1,17,1,1,1,13,13,0,12,
12,11,1,1,17,17,1,17,17,17,17,17,1,17,17,17,17,17,1,17,17,1,17,17,17,1,1,1,1,16,16,1,1,17,1,8,13,0,12,
12,11,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,1,1,1,1,16,16,1,1,1,17,17,1,12,
12,11,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,16,1,17,1,1,1,1,12,
12,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,13,0,0,0,0,0,0,16,1,1,1,13,1,1,12,
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,

layer 1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
2,0,2,2,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
2,0,2,2,0,0,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,2,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,2,0,0,0,0,0,0,2,
